monastery_name,lat,lon,crown_interference,leadership_opposition,rankfile_opposition,any_opposition,source
Axholme Charterhouse,53.5075,-0.7861,0.0,1.0,0.0,1,Knowles III; ODNB 'Webster'. Prior Augustine Webster refused Oath; executed Tyburn 4 May 1535. Gold-standard leadership opposition. No independent R&F evidence beyond Webster.
Barlings Abbey,53.2479,-0.3685,0.0,0.0,0.0,0,VCH Lincs II pp. 202-205. Abbot Mackerell executed post-Rising; all hostility evidence from Tower examinations after 1 Oct 1536. Pre-Oct: compliance.
Kirkstead Abbey,53.138463,-0.223131,0.0,0.0,0.0,0,VCH Lincs II pp. 135-138. Abbot Harrison executed; VCH calls implication 'probably unjustly' made. All evidence retrospective from Rising trials. Pre-Oct: compliance.
Revesby Abbey,53.143343,-0.047003,0.0,0.0,0.0,0,"VCH Lincs II pp. 141-143. Monks 'seen with insurgents' during the Rising itself, not before. Pre-Oct: no evidence."
Sempringham Priory,52.878899,-0.358087,1.0,0.0,0.0,0,VCH Lincs II pp. 179-187; ODNB 'Holgate'. Holgate imposed as Master of entire Gilbertine Order 1536.
Bardney Abbey,53.220787,-0.333501,0.0,0.0,0.0,0,VCH Lincs II pp. 97-104. Abbot Marton + 17 monks signed 1534 supremacy acknowledgement. Monks went out 4 Oct 'by command of William Wright.' Pre-Oct: compliance.
Thornton Abbey,53.655125,-0.309758,0.0,0.0,0.0,0,VCH Lincs II pp. 178-184. Above 1536 threshold; quietly compliant.
Spalding Priory,52.785806,-0.152889,0.0,0.0,0.0,0,VCH Lincs II pp. 118-124. Prior subscribed supremacy 1534. No specific Crown-interference episode or pre-Oct opposition.
Croyland Abbey,52.676414,-0.16499,0.0,0.0,0.0,0,VCH Lincs II pp. 105-118. Abbot + 32 monks subscribed supremacy June 1534.
Austin Friars Grimsby,53.566117,-0.086523,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Austin Friary, Boston",52.9717,-0.0192,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Blackfriars, Lincoln",53.23118,-0.532876,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Boston,52.9753,-0.0256,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Deeping St James Priory,52.6717,-0.2895,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Grantham,52.912147,-0.646739,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Boston",52.9748,-0.0217,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Grimsby",53.562993,-0.092028,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Lincoln",53.229587,-0.539845,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Lincoln,53.238672,-0.538692,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Austin Friars,52.650077,-0.486183,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Blackfriars,52.652388,-0.471591,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Greyfriars,52.654904,-0.470173,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Whitefriars,52.653833,-0.471404,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Whitefriars, Lincoln",53.22445,-0.54404,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Blackfriars, Boston",52.9756,-0.0227,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Lambley Priory,54.927768,-2.50959,0.0,0.0,0.0,0,VCH Northumberland. Small nunnery; no evidence.
St Michael's Priory,54.973822,-1.576069,0.0,0.0,0.0,0,VCH Northumberland. Trinitarian; ministers appointed by order.
Skewkirk,53.981178,-1.281785,0.0,0.0,0.0,0,VCH Yorks ER. Tiny.
Nunburnholme Priory,53.924727,-0.703957,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Holystone Priory,55.318365,-2.072457,0.0,0.0,0.0,0,VCH Northumberland. No evidence.
Ovingham Priory,54.967407,-1.86875,0.0,0.0,0.0,0,VCH Northumberland. Small; no evidence.
Arthington Priory,53.9017,-1.562,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Farne Abbey,55.616568,-1.655133,0.0,0.0,0.0,0,VCH Durham II. Durham dependency; no evidence.
Arden Priory,54.310171,-1.203185,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Grosmont Priory,54.440691,-0.724497,0.0,0.0,0.0,0,VCH Yorks NR II. Grandmontine; tiny.
Handale Priory,54.531056,-0.880864,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Esholt Priory,53.852922,-1.714608,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Seaton Priory,54.297187,-3.372929,0.0,0.0,0.0,0,VCH Cumberland II. Small nunnery; no evidence.
Ellerton in Swaledale Priory,54.371889,-1.879194,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Armathwaite Nunnery,54.778725,-2.721439,0.0,0.0,0.0,0,VCH Cumberland II. No evidence.
Kersal,53.510122,-2.288557,0.0,0.0,0.0,0,VCH Lancs. Tiny Cluniac cell; no evidence.
Kirklees Priory,53.6951,-1.7372,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Neasham Priory,54.459642,-1.465424,0.0,0.0,0.0,0,VCH Durham II. No evidence.
Thicket Priory,53.88302,-0.94115,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Baysdale Priory,54.451615,-1.043745,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Wilberfoss Priory,53.940974,-0.88941,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Yedingham Priory,54.206767,-0.628267,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Middlesborough Priory,54.582194,-1.232417,0.0,0.0,0.0,0,VCH Yorks NR II. Small cell.
Monkwearmouth Abbey,54.913103,-1.374969,0.0,0.0,0.0,0,VCH Durham II. Durham cell; no evidence.
Wykeham Priory,54.223885,-0.525026,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Moxby Priory,54.095015,-1.08895,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Penwortham Priory,53.7486,-2.7299,0.0,0.0,0.0,0,VCH Lancs. Cell of Evesham; dissolved without resistance.
Keldholme Priory,54.266578,-0.915666,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Carham,55.6389,-2.324166,0.0,0.0,0.0,0,VCH Northumberland. Small; no evidence.
Nunkeeling Priory,53.934837,-0.256709,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Knaresborough Priory,53.995923,-1.457086,0.0,0.0,0.0,0,VCH Yorks III. Trinitarian; ministers appointed by order.
"St Bartholomew's Nunnery, Newcastle Upon Tyne",54.972445,-1.6161,0.0,0.0,0.0,0,VCH Northumberland. No evidence.
Egglestone Abbey,54.531259,-1.905115,0.0,0.0,0.0,0,VCH Yorks III; Historic England. Paid fine to continue under 1536 Act.
Rosedale Abbey,54.353787,-0.887914,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Jarrow Priory,54.980375,-1.472183,0.0,0.0,0.0,0,VCH Durham II. Durham cell; no evidence.
Blanchland Abbey,54.848211,-2.055905,0.0,0.0,0.0,0,VCH Northumberland. Paid fine 1537; compliance.
"St Martin's Priory, Richmond",54.401826,-1.728652,0.0,0.0,0.0,0,VCH Yorks NR II. Small Benedictine cell.
St Andrew's Priory,53.952632,-1.077411,0.0,0.0,0.0,0,VCH Yorks III. Gilbertine daughter house; no per-house Crown interference or opposition documented.
Woodkirk Priory,53.72133,-1.589574,0.0,0.0,0.0,0,VCH Yorks III. Small Augustinian.
Lindisfarne Priory,55.669314,-1.800884,0.0,0.0,0.0,0,VCH Durham II. Prior Sparke; later suffragan Bishop of Berwick.
Lytham Priory,53.7441,-2.9768,0.0,0.0,0.0,0,VCH Lancs. Tiny Durham cell; no evidence.
Marrick Priory,54.375493,-1.898333,0.0,0.0,0.0,0,VCH Yorks III. Prioress Cowper; good compertae; compliant.
Calder Abbey,54.444167,-3.466111,0.0,0.0,0.0,0,VCH Cumberland II pp. 174-178. Surrendered 1536 under first Act.
Upholland Priory,53.5401,-2.7213,0.0,0.0,0.0,0,VCH Lancs II pp. 111-112. Visitors alleged only incontinence.
St Clement's Priory,53.95231,-1.082588,0.0,0.0,0.0,0,VCH Yorks ER. Small Benedictine.
North Ferriby Priory,53.718336,-0.50587,0.0,0.0,0.0,0,VCH Yorks ER. Small Augustinian.
Syningthwaite Priory,53.932444,-1.298472,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Ellerton Priory,53.850972,-0.935333,0.0,0.0,0.0,0,VCH Yorks III. Gilbertine daughter house; no per-house Crown interference or opposition documented.
Hampole Priory,53.58767,-1.237362,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Healaugh Park Priory,53.911044,-1.262419,0.0,0.0,0.0,0,VCH Yorks III. Augustinian.
Hackness Priory,54.301416,-0.512275,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Brinkburn Priory,55.278899,-1.818879,0.0,0.0,0.0,0,VCH Northumberland. Tiny house; no opposition.
Nunmonkton,54.014792,-1.220748,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Nun Appleton Priory,53.8525,-1.156111,0.0,0.0,0.0,0,VCH Yorks III. Layton moral charges only.
Hornby Priory,54.115407,-2.648124,0.0,0.0,0.0,0,VCH Lancs II pp. 160-161. Surrendered to Legh and Layton 23 Feb 1536.
Lanercost Priory,54.965772,-2.695365,0.0,0.0,0.0,0,VCH Cumberland II pp. 152-161. Prior Robinson; compliant.
Burscough Priory,53.583099,-2.85629,0.0,0.0,0.0,0,VCH Lancs II. Derby patronage; compliant.
Swine Priory,53.806268,-0.27907,0.0,0.0,0.0,0,VCH Yorks III. No evidence.
Cartmel Priory,54.201107,-2.951892,0.0,0.0,0.0,0,VCH Lancs VIII; Haigh (1969). Prior Preston fled to Derby's Crown forces Oct 1536.
Drax Priory,53.747772,-0.99006,0.0,0.0,0.0,0,VCH Yorks III. Augustinian.
Conishead Priory,54.173143,-3.067932,0.0,0.0,0.0,0,"VCH Lancs II pp. 140-143. Non-dispersal story belongs to Cartmel, not Conishead; VCH records 8 canons pensioned normally."
Newminster Abbey,55.167244,-1.701037,0.0,0.0,0.0,0,VCH Northumberland. No verifiable pre-Oct 1536 evidence of opposition despite secondary claims.
Haltemprice Priory,53.764649,-0.420865,0.0,0.0,0.0,0,VCH Yorks III pp. 213-216. Surrendered 12 Aug 1536 without resistance.
Mount St. John Preceptory,54.257239,-1.274953,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Snaith Priory,53.692076,-1.030762,0.0,0.0,0.0,0,VCH Yorks III. Benedictine cell of Selby.
Easby Abbey,54.398255,-1.717024,0.0,0.5,0.0,1,VCH Yorks III pp. 245-249; English Heritage. Abbot Bampton issued sealed conventual charter to Lord Scrope 2 Aug 1534 reaffirming patronage — defensive institutional manoeuvre.
Bamburgh Priory,55.606773,-1.724607,0.0,0.0,0.0,0,VCH Northumberland. Small; no evidence.
Wetheral,54.879306,-2.829993,1.0,0.0,0.0,0,VCH Cumb II pp. 184-189. VCH: 'It is probable that Ralf Hartley was put in by Cromwell's influence for the purpose of the dissolution.'
Finchale Abbey,54.818277,-1.54058,0.0,0.0,0.0,0,VCH Durham II. Durham dependency; compliant.
Hexham Abbey,54.971541,-2.102557,0.5,1.0,1.0,1,Same house as Hexham Priory in dataset; coded identically. See Hexham Priory source.
Newland Preceptory,53.697042,-1.447138,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
St Bees Priory,54.493949,-3.593528,1.0,0.0,0.0,0,VCH Cumb II pp. 178-183. VCH: 'Priors were made or unmade as it suited the royal will.' Prior Matthew deposed under Cromwellian pressure. Factional struggle ≠ Reformation opposition.
Warter Abbey,53.942856,-0.67619,0.0,0.0,0.0,0,VCH Yorks III. Dissolved Aug 1536 without opposition.
Sawley Abbey,53.91355,-2.341509,0.0,0.0,0.0,0,VCH Yorks III pp. 156-158. Abbot Bolton (confirmed 1527). All evidence of resistance (Trafford/restoration) post-12 Oct 1536.
Marton Priory,54.117944,-1.107694,0.0,0.0,0.0,0,VCH Yorks III. Small Augustinian.
Shap Abbey,54.530329,-2.699846,0.0,0.0,0.0,0,VCH Westmorland. Surrendered quietly Jan 1540; no pre-Oct opposition.
Cockersand Abbey,53.976723,-2.874581,0.5,0.0,0.0,0,VCH Lancs II pp. 154-159. Abbot Poulton's deferential Cromwell correspondence over Layburn dispute.
Coverham Abbey,54.2732,-1.8387,0.0,0.0,0.0,0,"Clay, Yorkshire Monasteries: Suppression Papers (1912). Abbot Rokeby accepted pension Apr 1536."
Beverley Preceptory,53.842641,-0.422826,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Holy Trinity Priory, York",53.956043,-1.088631,0.5,0.0,0.0,0,VCH York. Alien-dependency background; thin but not contradicted by audit.
"Charterhouse, Kingston upon Hull",53.74899,-0.335365,0.0,0.0,0.5,1,"VCH Yorks III pp. 190-192; Carthusian Martyrs of London (Wikipedia). London Carthusians Rochester and Walworth exiled to Hull post-June 1535 executions, not May 1534. 0.5 reflects exiled resisters present in community; strict reading (native monks only) would be 0."
Alnwick Abbey,55.41985,-1.71914,0.0,0.0,0.0,0,VCH Northumberland. Dissolved and refounded for a fine — compliance.
Malton Priory,54.142551,-0.779005,0.0,0.0,0.0,0,VCH Yorks III. Gilbertine; Holgate's mastership (1536) did not constitute per-house election interference. No documented opposition.
Ribstone Preceptory,53.978617,-1.404051,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Bolton Priory,53.983708,-1.88836,0.0,0.0,0.0,0,VCH Yorks III pp. 195-199. Prior Moone (1513); compliant.
Roche Abbey,53.402539,-1.183534,0.0,0.0,0.0,0,VCH Yorks III pp. 153-156; English Heritage. No opposition; compertae raised only moral charges.
Jervaulx Abbey,54.267011,-1.737966,0.0,0.0,1.0,1,VCH Yorks III pp. 138-142; L&P VIII-IX. Monk George Lazenby convicted of treason 6 Aug 1535 for affirming papal supremacy. Abbot Sedbar elected conventionally c.1533.
Byland Abbey,54.203499,-1.158693,0.0,0.5,0.0,1,VCH Yorks III pp. 131-134; DHI Cistercians. Abbot Alanbridge tried to evade presiding at Blyton's imposition at Rievaulx Sept 1533 — institutional foot-dragging.
Monk Bretton Priory,53.554013,-1.438372,0.0,0.0,0.0,0,VCH Yorks III pp. 115-117. Prior Browne (1523); Oath taken 1534.
Hexham Priory,54.971541,-2.102745,0.5,1.0,1.0,1,"Knowles III pp. 323-24; L&P XI nos. 504, 784. Armed resistance 28 Sept 1536 by unnamed canon(s) in armour. Prior Jay's Feb 1536 deposition was archiepispopal (York peculiar), not directly Cromwellian."
Kirkham Priory,54.082917,-0.876959,0.0,0.0,0.0,0,VCH Yorks III pp. 219-222. Prior Kildwick (1518); compliant.
Rievaulx Abbey,54.257409,-1.116533,1.0,0.5,1.0,1,"VCH Yorks III pp. 149-153; Elton, JEH 7 (1956). Kirkby deposed 1 Sept 1533 via Cromwell/Legh; only 8 of 23 monks consented to Blyton's election. Kirkby's opposition was factional/pre-Supremacy, coded 0.5 not 1."
Meaux Abbey,53.83938,-0.34193,0.0,0.0,0.0,0,VCH Yorks III pp. 146-149. No interference; compliant.
Whalley Abbey,53.820441,-2.410518,0.0,0.0,0.0,0,VCH Lancs II pp. 131-139; Haigh (1975). Abbot Paslew elected 1507; took Oath 1534; granted Cromwell annuity. Sworn to rebels 30 Oct 1536 under armed coercion.
Mount Grace Priory,54.379984,-1.31005,0.0,0.0,0.0,0,VCH Yorks III; English Heritage. Claim of 1534 monk imprisonments is unsourced tradition; English Heritage notes Mount Grace 'refused to become involved with the Pilgrimage of Grace.' No verifiable pre-Oct opposition.
Kirkstall Abbey,53.821358,-1.608018,0.0,0.0,0.0,0,VCH Yorks III pp. 142-146. Abbot Ripley elected 1528; compliant throughout.
Pontefract Priory,53.701814,-1.307541,0.0,0.0,0.0,0,VCH Yorks III pp. 162-165. Prior Thwaytes; compliant.
Watton Priory,53.934821,-0.442768,1.0,0.0,0.0,0,VCH Lincs II pp. 179-187; ODNB 'Holgate'. Holgate imposed as Master of Gilbertines and prior of Watton 1536 as Cromwell's chaplain.
Newburgh Priory,54.181333,-1.170248,0.0,0.0,0.0,0,VCH Yorks III. Prior Lenewood; Legh/Layton noted only 'superstitions'.
Tynemouth Priory,55.017788,-1.418019,0.0,0.0,0.0,0,VCH Northumberland. Prior Blakeney; compliant.
Carlisle Cathedral,54.894722,-2.938611,0.0,0.0,0.0,0,"VCH Cumb II; Fasti XI. Prior Salkeld (1532); 1541 transition to Dean shows pragmatic conformity, not documented pre-1536 Crown patronage."
Whitby Abbey,54.488295,-0.607538,0.0,0.0,0.0,0,VCH Yorks NR II pp. 506-528. Abbot Hexham/Topcliffe (1527); compliant.
Holmcultram Abbey,54.8454,-3.2829,1.0,0.5,0.0,1,"VCH Cumb II pp. 162-173; Gilbanks, Records of Holm Cultram. Four abbots 1532-38; contested elections with Crown agents intervening. Convent's Aug 1536 petition notified Cromwell of vacancy — mild institutional resistance."
Nostell Priory,53.651667,-1.389167,0.0,0.0,0.0,0,VCH Yorks III. Prior Comyn in office through window; Ferrar's Cromwellian appointment was June 1538 — too remote. No pre-Oct 1536 interference.
Bridlington Priory,54.094307,-0.202061,0.0,0.5,0.0,1,VCH Yorks III pp. 199-205; BL Cotton MS Cleop. E IV fo. 53. Prior Wood's letter (c.23 Oct 1535) resisted Crown displacement of Walter de Gant as founder. Mild pre-Pilgrimage pushback.
Selby Abbey,53.78406,-1.067159,0.5,0.0,0.0,0,"VCH Yorks III; Selby Abbey history. Abbot Rogers signed 1530 divorce petition. Election (1526) was conventional; Crown-sympathetic, not Crown-imposed."
Gisborough Priory,54.536134,-1.048754,1.0,0.0,0.0,0,English Heritage; ODNB 'Pursglove'. Cromwell orchestrated Cockerell's forced resignation and Pursglove's installation 25 Apr 1536.
Furness Abbey,54.135859,-3.198288,1.0,0.0,0.0,0,"VCH Lancs II pp. 114-131. Abbot Pyle paid £200 for admission and granted Cromwell a yearly pension, c.1531. R&F opposition (Salley) unverifiable pre-Oct 1536."
Fountains Abbey,54.109931,-1.581182,1.0,0.0,0.0,0,"VCH Yorks III pp. 134-138; L&P X no. 137. Bradley paid 600 marks (~£400) for abbacy after Thirsk deposed by Legh/Layton Jan 1536. Thirsk's charges administrative/moral, not doctrinal."
Durham Priory,54.77321,-1.57683,0.0,0.0,0.0,0,Knowles III; VCH Durham II. Prior Whitehead (1520); took Oath; became first Dean 1541.
"St Mary's Abbey, York",53.961389,-1.088056,0.0,0.0,0.0,0,VCH Yorks III pp. 107-112. Abbot Thornton (1530); compliant.
Carlisle,54.892223,-2.935675,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Carlisle Friary,54.89523,-2.93643,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Penrith,54.664047,-2.748599,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Hartlepool",54.696678,-1.179912,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Lancaster Friary,54.04827,-2.79737,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Preston Greyfriars,53.75985,-2.703108,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Warrington,53.386918,-2.593537,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Bamburgh,55.606945,-1.72447,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Newcastle Upon Tyne",54.973574,-1.612351,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Hulne,55.43492,-1.74395,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Newcastle Upon Tyne Austin Friars,54.9708,-1.6032,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Whitefriars Newcastle Upon Tyne,54.968389,-1.612735,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Blackfriars, Newcastle",54.971726,-1.619701,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Appleby Whitefriars Priory,54.581233,-2.489742,0.0,0.0,0.0,0,VCH Westmorland. Carmelite friary; wardens appointed by order.
Ravenstonedale Priory,54.43312,-2.429481,0.0,0.0,0.0,0,VCH Westmorland. Gilbertine daughter house; no per-house interference. No opposition.
Beverley Dominicans,53.84,-0.421108,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
