Name,Title/Relation,Rank,Family,Country Seat,County,Latitude,Longitude,Active_Loyalist,Reluctant_Loyalist,Neutral,Reluctant_Rebel,Rebel_Participant,Active_Rebel,Court_Office,Office_Notes,Snub,Snub_Notes,Family_Snub
John Sutton,3rd Baron Dudley,Baron,Sutton,Dudley Castle,Staffordshire,52.528,-2.09,0,0,1,0,0,0,0,Never summoned to Parliament; no offices,1,Cromwell colluded with cousin John Dudley to strip him of estates; lost ancestral Dudley Castle 1535,1
John Touchet,8th Baron Audley,Baron,Touchet,Heleigh Castle,Staffordshire,52.996,-2.276,0,0,1,0,0,0,0,No Crown office documented,0,,0
Henry Clifford,Heir to Earl of Cumberland,Lord (Heir),Clifford,Brougham Castle,Westmorland,54.6539,-2.7192,1,0,0,0,0,0,0,Aged ~19; KB 1533 (honour not office); no documented office,0,,0
George Lumley,Son of 4th Baron Lumley,Knight (Son),Lumley,Thwing,Yorkshire (ER),54.088,-0.463,0,0,0,0,0,1,0,No offices; young man,0,,1
Christopher Conyers,2nd Baron Conyers,Baron,Conyers,Hornby Castle,Yorkshire (NR),54.336,-1.655,0,0,0,1,0,0,0,No Crown office documented,0,,0
John Neville,3rd Baron Latimer,Baron,Neville,Snape Castle,Yorkshire (NR),54.265,-1.595,0,0,0,1,0,0,1,JP for Yorkshire North Riding from 1528; Council of the North from 1530; Steward of Ripon 1536,0,,0
Marmaduke Neville,Brother to 3rd Baron Latimer,Knight (Brother),Neville,Snape Castle,Yorkshire (NR),54.265,-1.595,0,0,0,0,1,0,0,No Crown office documented,0,,0
John Scrope,8th Baron Scrope of Bolton,Baron,Scrope,Bolton Castle,Yorkshire (NR),54.322,-1.949,0,0,0,1,0,0,0,Young peer (~21-26); recently inherited Dec 1533; no offices documented,1,Inherited ongoing Crown pressure to surrender family's Pisho estate in Hertfordshire,1
John Scrope,Brother to 7th Baron,Knight (Brother),Scrope,Spennithorne,Yorkshire (NR),54.295,-1.86,0,1,0,0,0,0,0,No offices documented,0,,1
Henry Clifford,1st Earl of Cumberland,Earl,Clifford,Skipton Castle,Yorkshire (WR),53.9639,-2.015,1,0,0,0,0,0,1,Warden of the West Marches from 1534; Hereditary Sheriff of Westmorland; Constable of Knaresborough and Penrith,0,,0
Thomas Darcy,1st Baron Darcy de Darcy,Baron,Darcy,Temple Hirst,Yorkshire (WR),53.712,-1.107,0,0,0,0,0,1,1,Privy Councillor; Knight of the Garter; command of Pontefract Castle,1,"Systematic marginalization: removed from Captain of Berwick, wardenship; detained in London ~5 years; excluded from Parliament 1534",1
George Darcy,Heir to 1st Baron Darcy,Lord (Heir),Darcy,Aston,Yorkshire (WR),53.376,-1.289,0,0,0,0,1,0,1,Sheriff of Yorkshire 1535-36,0,,1
Sir Arthur Darcy,Son of 1st Baron Darcy,Knight (Son),Darcy,Brimham,Yorkshire (WR),54.087,-1.693,1,0,0,0,0,0,1,Captain/Governor of Jersey from Sept 1534,0,,1
George Talbot,4th Earl of Shrewsbury,Earl,Talbot,Sheffield Castle,Yorkshire (WR),53.383,-1.467,1,0,0,0,0,0,1,Lord Steward of the King's Household; Chamberlain of the Exchequer; Privy Councillor; Lord High Steward of Ireland,0,,0
