city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,riverDist,portDist,roadDist
Wellington,52.7001,-2.5157,1,2,2,3,2,1,1,2,2,2,4,8,5,0.5,-0.666666667,0,1,3,-0.5,1,17.61583519,679.953186,49.36598206,1767.692749,160.7722626,6494.004883,48.91045463,7.062326181,8.572294916
Wellington,50.9755,-3.2243,1,2,2,3,2,1,1,2,2,2,4,8,5,0.5,-0.666666667,0,1,3,-0.5,1,10.95219231,482.9728699,49.00548172,2202.757568,129.6220245,7982.182129,104.5986129,24.16304687,28.28860881
West Bromwich,52.519,-1.995,0,1,1,1,1,1,1,1,1,1,2,6,35,0,0,0,0,5,0,0,6.484242439,207.7738647,60.04153824,2082.195557,251.6945648,11121.06738,48.35042978,26.39140589,9.869246682
West Ham,51.5347,0.0077,1,1,2,2,1,2,2,3,3,3,4,6,19,1,0,0,0.5,1,1,0.5,75.44293976,8706.435547,135.2085724,15627.48438,305.1283875,24981.66797,58.68576657,2.931263316,0.799335024
Whitby,54.4858,-0.6206,1,1,1,2,1,1,1,2,2,2,4,7,8,1,-0.5,0,1,2.5,0,1,7.849867821,443.9203491,25.67675209,926.9273071,108.8094559,4636.483887,72.57279577,0.468395915,15.1059535
Whitehaven,54.548,-3.5855,1,1,1,2,1,2,2,2,3,3,5,9,14,1,0,0,0,3.5,1,0.5,5.056676388,128.7438507,9.221582413,264.5174255,31.60785103,1415.415039,146.2929218,0.523467963,8.933238671
Wigan,53.5448,-2.6318,0,0,0,1,1,1,1,2,2,2,4,11,32,,0,0,1,4.5,0,1,3.844555616,54.27315903,21.3741436,598.1193237,71.08547211,2806.327637,85.80631628,18.45230194,8.898241041
Winchester,51.0632,-1.308,3,4,5,6,3,3,3,3,3,3,4,6,14,0.5,-0.5,0,0,1,0,0,24.22661018,2737.323486,64.31800079,4347.038086,184.0097046,10633.75391,69.88993468,17.20486225,8.716528143
Windsor,51.4791,-0.6095,0,0,0,1,1,1,1,2,2,2,3,5,14,,0,0,1,1.5,0,1,12.28219032,416.3148804,94.04368591,8595.942383,298.2677002,24332.07617,21.4523834,8.950527326,3.548835631
Wolverhampton,52.5833,-2.1333,0,0,1,1,1,1,2,3,4,6,7,13,50,,0,1,0.5,3.333333333,1,2,4.761277199,53.79335785,46.91669464,1386.166382,230.1847839,9835.69043,46.39333663,20.05109639,3.853943543
Woolwich,51.488,0.063,0,0,0,0,0,1,1,2,2,2,7,24,52,,,0,1,11,,1,50.98160934,5641.499512,129.0082245,14523.84961,294.342865,24460.24414,63.46070282,0.830647563,12.65479069
Worcester,52.192,-2.22,2,3,3,2,3,4,5,6,7,9,10,11,31,-0.333333333,1,0.25,0.2,0.833333333,0.666666667,0.8,18.69732475,1731.143066,75.95960236,5857.736328,235.8709259,13623.78711,24.96738688,0.542574745,12.19095907
Workington,54.6365,-3.5549,1,1,1,1,1,1,1,1,1,1,2,6,6,0,0,0,0,5,0,0,0.528278053,15.22186661,9.311907768,362.1194153,31.77364731,1405.071899,148.1693582,1.490946606,9.245262625
York,53.9583,-1.0803,6,8,11,8,12,7,9,12,12,12,11,17,41,0,-0.125,0.285714286,0.333333333,0.416666667,-0.25,0.333333333,30.68647766,2053.872803,96.09139252,4435.583984,242.7836761,9780.195313,29.7638131,5.598933115,1.936771632
