name,selected,diocese,town,order,typeHouse,members,year,latitude,longitude,mother hou,nickAdd,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,region,founded,originalFoundation,foundedSource,ID
King's Lynn Priory Benedictines,1.0,,King's Lynn,Benedictine,,Monks,1539,52.751422,0.395442,Norwich Cathedral,,25.0,3.218875825,3,1,0,0,1,0,1.343448536,0,0.0,NORFOLK,1,1100.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp328-329,14
Letheringham Priory,,,Letheringham,Augustinian,,Canons,1537,52.178823,1.315785,SS Peter and Paul Ipswich,,26.0,3.258096538,1,1,0,0,1,0,1.582197964,0,0.0,SUFFOLK,1,,,,15
Weybourne Priory,,,,Augustinian,,Canons,1536,52.943532,1.141403,,,28.0,3.33220451,0,1,0,0,1,0,1.908235259,0,0.0,NORFOLK,1,,,,16
Spinney Priory,1.0,,,Benedictine,,Monks,1539,52.322181,0.279701,Ely,,30.0,3.401197382,3,1,0,0,1,0,0.904369179,0,0.0,CAMBRIDGESHIRE,1,1227.0,,https://www.british-history.ac.uk/vch/cambs/vol2/pp249-254,17
Crabhouse Priory,,,Wiggenhall,Augustinian,,Canonesses,1536,52.645282,0.364065,,,30.0,3.401197382,0,1,0,0,1,0,1.23342949,1,30.0,NORFOLK,1,,,,18
Wangford Priory,1.0,,Wangford,Benedictine,Cluniac,,1540,52.3546,1.6201,,,30.0,3.401197382,4,1,0,0,1,0,1.932534191,0,0.0,SUFFOLK,1,1160.0,,https://www.british-history.ac.uk/vch/suff/vol2/pp88-89,19
"St. Nicholas' Priory, Great Yarmouth",,,Great Yarmouth,Benedictine,,Monks,1536,52.611351,1.72733,Norwich Cathedral,,31.0,3.433987204,0,1,0,0,1,0,2.149089554,0,0.0,NORFOLK,1,,,,20
Hempton Priory,,,Hempton,Augustinian,Canons Regular,Canons,1537,52.82,0.83,,,32.0,3.465735903,1,1,0,0,1,0,1.617094187,0,0.0,NORFOLK,1,,,,21
Chippenham Preceptory,1.0,,Chippenham,Augustinian,Knights Hospitaller,,1540,52.3005,0.4388,,,33.0,3.496507561,4,1,0,0,1,0,0.966968386,0,0.0,CAMBRIDGESHIRE,1,1184.0,,https://www.british-history.ac.uk/vch/cambs/vol2/pp264-266,22
Wormegay Priory,,,,Augustinian,,Canons,1537,52.68671,0.443325,Pentney,,35.0,3.555348061,1,1,0,0,1,0,1.303780831,0,0.0,NORFOLK,1,,,,23
Marham Abbey,1.0,,Marham,Cistercian,,Nuns,1536,52.659,0.5218,,,39.0,3.663561646,0,1,0,0,1,0,1.315170335,1,39.0,NORFOLK,1,1249.0,,https://www.heritage.norfolk.gov.uk/record-details?MNF4483-Marham-Abbey-a-Cistercian-nunnery&Index=4102&RecordCount=57339&SessionID=9549ff51-66ca-4188-857a-02f20085976f,24
Thetford Priory (Suffolk side),1.0,,Thetford,Augustinian,,Canons,1536,52.4137,0.7406,,,39.0,3.663561646,0,1,0,0,1,0,1.246611158,0,0.0,NORFOLK,1,1104.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp363-369,25
Fordham Priory,1.0,,Fordham,Gilbertine,,Canons,1540,52.3054,0.3865,,,40.0,3.688879454,4,0,1,0,1,0,0.941956644,0,0.0,CAMBRIDGESHIRE,1,1227.0,,https://www.british-history.ac.uk/vch/cambs/vol2/pp256-258,26
Swaffham Bulbeck,,,,Benedictine,,Nuns,1536,52.242061,0.280878,,,40.0,3.688879454,0,1,0,0,1,0,0.833724626,1,40.0,CAMBRIDGESHIRE,1,,,,27
"St George's Priory, Thetford Nunnery",1.0,,Thetford,Benedictine,,Nuns,1537,52.405927,0.752199,,,40.0,3.688879454,1,1,0,0,1,0,1.249041848,1,40.0,NORFOLK,1,1160.0,1032.0,"https://www.british-history.ac.uk/vch/suff/vol2/pp85-86, originally founded by Uvius, chose middle of his abbacy",28
Blackborough Priory,,,,Benedictine,,Nuns,1537,52.698471,0.475943,,,42.0,3.737669618,1,1,0,0,1,0,1.328664895,1,42.0,NORFOLK,1,,,,29
Beeston Priory,1.0,,Beeston Regis,Augustinian,,Canons,1539,52.938772,1.224176,,,43.0,3.761200116,3,1,0,0,1,0,1.960381159,0,0.0,NORFOLK,1,1216.0,,https://www.heritage.norfolk.gov.uk/priory-of-st-mary-in-the-meadow-beeston-regis,30
Stonely Priory,1.0,,Stonely,Augustinian,,Canons,1536,52.295,-0.368,,,46.0,3.828641396,0,1,0,0,1,0,0.82381734,0,0.0,HUNTINGDONSHIRE,1,1274.0,,"https://www.british-history.ac.uk/vch/hunts/vol1/pp395-396, first evidence of existence",31
"St Leonard's Priory, Norwich",,,Norwich,Benedictine,,Monks,1538,52.631162,1.311868,Norwich Cathedral,,48.0,3.871201011,2,1,0,0,1,0,1.817089076,0,0.0,NORFOLK,1,,,,32
Blythburgh Priory,,,Blythburgh,Augustinian,,Canons,1537,52.3217,1.5965,,,48.0,3.871201011,1,1,0,0,1,0,1.897026634,0,0.0,SUFFOLK,1,,,,33
"St. Olaves Priory, Herringfleet",,,St Olaves,Augustinian,,Canons,1537,52.538196,1.621778,,,49.0,3.891820298,1,1,0,0,1,0,2.020980571,0,0.0,NORFOLK,1,,,,34
Woodbridge Priory,,,Woodbridge,Augustinian,,Canons,1537,52.0931,1.3138,,,50.0,3.912023005,1,1,0,0,1,0,1.546073485,0,0.0,SUFFOLK,1,,,,35
Battisford Preceptory,1.0,,,Augustinian,Knights Hospitaller,,1540,52.148965,0.989523,,,52.0,3.951243719,4,1,0,0,1,0,1.278712236,0,0.0,SUFFOLK,1,1172.0,,"https://www.british-history.ac.uk/vch/suff/vol2/pp120-121, middle of Henry II's reign",36
Flitcham Priory,,,,Augustinian,,Canons,1538,52.808868,0.572341,,,55.0,4.007333185,2,1,0,0,1,0,1.470974798,0,0.0,NORFOLK,1,,,,37
Wendling Abbey,1.0,,,Premonstratensian,,Canons,1536,52.678374,0.86681,,,55.0,4.007333185,0,0,1,0,1,0,1.528118291,0,0.0,NORFOLK,1,1265.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp421-423,38
Bruisyard Abbey,1.0,,,Franciscan,Poor Clares,Nuns,1539,52.244456,1.417467,,,56.0,4.025351691,3,0,1,0,1,0,1.70217262,1,56.0,SUFFOLK,1,1366.0,,https://www.british-history.ac.uk/vch/suff/vol2/pp131-132,39
Ingham,,,,Augustinian,Trinitarian,Friars,1536,52.779067,1.543794,,,61.0,4.110873864,0,1,0,0,1,0,2.091033887,0,0.0,NORFOLK,1,,,,40
Bungay Priory,,,Bungay,Benedictine,,Nuns,1536,52.455532,1.438023,,,61.0,4.110873864,0,1,0,0,1,0,1.820865057,1,61.0,SUFFOLK,1,,,,41
Carrow Abbey,1.0,,Bracondale,Benedictine,,Monks,1538,52.618,1.310806,,,64.0,4.158883083,2,1,0,0,1,0,1.808158278,0,0.0,NORFOLK,1,1146.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp351-354,42
St Mary of Carrow,,,,Benedictine,,Nuns,1536,52.618294,1.31148,,,64.0,4.158883083,0,1,0,0,1,0,1.808871075,1,64.0,NORFOLK,1,,,,43
Carbrooke Preceptory,,,,Augustinian,Knights Hospitaller,,1540,52.581693,0.878225,,,69.0,4.234106505,4,1,0,0,1,0,1.463280353,0,0.0,NORFOLK,1,,,,44
Ickleton Priory,,,Ickleton,Benedictine,,Nuns,1536,52.070833,0.170833,,,71.0,4.262679877,0,1,0,0,1,0,0.630885039,1,71.0,CAMBRIDGESHIRE,1,,,,45
Redlingfield Priory,1.0,,Redlingfield,Benedictine,,Nuns,1537,52.290656,1.204414,,,81.0,4.394449155,1,1,0,0,1,0,1.535730142,1,81.0,SUFFOLK,1,1120.0,,https://www.british-history.ac.uk/vch/suff/vol2/pp83-85,46
"Holy Trinity Priory, Ipswich",1.0,,Ipswich,Augustinian,,Canons,1537,52.06056,1.15814,,,82.0,4.406719247,1,1,0,0,1,0,1.389929801,0,0.0,SUFFOLK,1,1177.0,,https://www.british-history.ac.uk/vch/suff/vol2/pp103-105,47
Chatteris Abbey,,,Chatteris,Benedictine,,Nuns,1538,52.453,0.0489,,,97.0,4.574710979,2,1,0,0,1,0,0.957673222,1,97.0,CAMBRIDGESHIRE,1,,,,48
Bromholm Priory,1.0,,Bacton,Benedictine,Cluniac,,1536,52.844479,1.487463,,,100.0,4.605170186,0,1,0,0,1,0,2.087742022,0,0.0,NORFOLK,1,1113.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp359-363,49
Hickling Priory,1.0,,Hickling,Augustinian,,Canons,1536,52.7669,1.583,,,100.0,4.605170186,0,1,0,0,1,0,2.115074188,0,0.0,NORFOLK,1,1185.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp383-386,50
Binham Priory,1.0,,Binham,Benedictine,,Monks,1539,52.920148,0.94684,St Albans Abbey,,101.0,4.615120517,3,1,0,0,1,0,1.767092127,0,0.0,NORFOLK,1,1093.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp343-346,51
Langley Abbey,1.0,,,Premonstratensian,,Canons,1536,52.572177,1.485601,,,104.0,4.644390899,0,0,1,0,1,0,1.923558389,0,0.0,NORFOLK,1,1195.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp418-421,52
Old Buckenham Priory,1.0,,Old Buckenham,Augustinian,,Canons,1536,52.4911,1.0497,,,108.0,4.682131227,0,1,0,0,1,0,1.525225901,0,0.0,NORFOLK,1,1146.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp376-378,53
Coxford Priory,,,Coxford,Augustinian,Canons Regular,Canons,1536,52.827,0.7417,,,121.0,4.795790546,0,1,0,0,1,0,1.572814369,0,0.0,NORFOLK,1,,,,54
Anglesey Priory,1.0,,Lode,Augustinian,,Canons,1535,52.237,0.24,,,124.0,4.820281566,-1,1,0,0,1,0,0.810410149,0,0.0,CAMBRIDGESHIRE,1,1212.0,,https://www.british-history.ac.uk/vch/cambs/vol2/pp229-234,55
Shouldham Priory,,,,Gilbertine,,Mixed,1538,52.656287,0.482352,,,138.0,4.927253685,2,0,1,0,1,0,1.294031101,0,0.0,NORFOLK,1,,,,56
Sawtry Abbey,,,Sawtry,Cistercian,,Monks,1536,52.4275,-0.239444,Warden,,141.0,4.94875989,0,1,0,0,1,0,0.925489393,0,0.0,HUNTINGDONSHIRE,1,,,,57
Eye Priory,,,Eye,Benedictine,,Monks,1537,52.322636,1.156286,,,161.0,5.081404365,1,1,0,0,1,0,1.511435392,0,0.0,SUFFOLK,1,,,,58
St Faith Priory,,,Horsham St Faith and Newton St Faith,Benedictine,,Monks,1536,52.688817,1.277649,,,162.0,5.087596335,0,1,0,0,1,0,1.826944113,0,0.0,NORFOLK,1,,,,59
Ixworth Priory,,,Ixworth,Augustinian,,Canons,1537,52.298,0.829,,,168.0,5.123963979,1,1,0,0,1,0,1.232048055,0,0.0,SUFFOLK,1,,,,60
Pentney Priory,1.0,,,Augustinian,,Canons,1537,52.680372,0.514717,,,170.0,5.135798437,1,1,0,0,1,0,1.330499145,0,0.0,NORFOLK,1,1175.0,,"https://www.british-history.ac.uk/vch/norf/vol2/pp388-391, founded by Robert De Vaux, tagged to middle adulthood",61
Denny Abbey,,,Waterbeach,Franciscan,Poor Clares,Nuns,1536,52.293559,0.186542,,,172.0,5.147494477,0,0,1,0,1,0,0.840697005,1,172.0,CAMBRIDGESHIRE,1,,,,62
Shingay Preceptory,1.0,,,Augustinian,Knights Hospitaller,,1539,52.10839,-0.088513,,,175.0,5.164785974,3,1,0,0,1,0,0.599121008,0,0.0,CAMBRIDGESHIRE,1,1177.0,,"https://www.british-history.ac.uk/vch/cambs/vol2/pp266-269, foundation unclear, two sisters living there in 1177",63
Leiston Abbey,1.0,,Leiston,Premonstratensian,,Canons,1537,52.221447,1.578016,,,181.0,5.198497031,1,0,1,0,1,0,1.839284187,0,0.0,SUFFOLK,1,1182.0,,https://www.british-history.ac.uk/vch/suff/vol2/pp117-119,64
Campsey Ash Priory,,,Wickham Market,Augustinian,,Canonesses,1536,52.1396,1.3865,,,182.0,5.204006687,0,1,0,0,1,0,1.631017265,1,182.0,SUFFOLK,1,,,,65
Huntingdon Priory,,,Huntingdon,Augustinian,,Canons,1538,52.333,-0.183,,,187.0,5.231108617,2,1,0,0,1,0,0.825554971,0,0.0,HUNTINGDONSHIRE,1,,,,66
Wymondham Abbey,,,Wymondham,Benedictine,,Monks,1538,52.570556,1.108333,,,211.0,5.351858133,2,1,0,1,0,0,1.621393516,0,0.0,NORFOLK,1,,,,67
West Dereham Abbey,,,,Premonstratensian,,Canons,1539,52.578092,0.450236,,,228.0,5.429345629,3,0,1,1,0,0,1.209886908,0,0.0,NORFOLK,1,,,,68
St Neots Priory,,,St Neots,Benedictine,,Monks,1539,52.228785,-0.271208,,,241.0,5.484796933,3,1,0,1,0,0,0.734910835,0,0.0,HUNTINGDONSHIRE,1,,,,69
Sibton Abbey,,,Yoxford,Cistercian,,Monks,1536,52.27565,1.465491,Warden,,250.0,5.521460918,0,1,0,1,0,0,1.758971398,0,0.0,SUFFOLK,1,,,,70
Barnwell Priory,1.0,,,Augustinian,,Canons,1538,52.209027,0.13852,,,256.0,5.545177444,2,1,0,1,0,0,0.744642579,0,0.0,CAMBRIDGESHIRE,1,1092.0,,https://www.british-history.ac.uk/vch/cambs/vol2/pp234-249,71
West Acre Priory,1.0,,,Augustinian,,Canons,1538,52.703172,0.63372,,,260.0,5.560681631,2,1,0,1,0,0,1.410281083,0,0.0,NORFOLK,1,1094.0,,"https://www.british-history.ac.uk/vch/norf/vol2/pp402-404, reign of William Rufus, chose middle",72
Castle Acre Priory,1.0,,Castle Acre,Benedictine,Cluniac,,1537,52.700666,0.683798,,,306.0,5.723585102,1,1,0,1,0,0,1.435522875,0,0.0,NORFOLK,1,1088.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp356-358,73
"St Mary's Priory, Thetford Priory",1.0,,Thetford,Benedictine,Cluniac,Monks,1540,52.4165,0.742382,,,312.0,5.743003188,4,1,0,1,0,0,1.249868602,0,0.0,NORFOLK,1,1114.0,1104.0,https://www.british-history.ac.uk/vch/norf/vol2/pp363-369,74
Butley Priory,,,Butley,Augustinian,,Canons,1538,52.089968,1.46524,,,318.0,5.762051383,2,1,0,1,0,0,1.686217197,0,0.0,SUFFOLK,1,,,,75
Walsingham Priory,1.0,,Walsingham,Augustinian,Canons Regular,Canons,1538,52.893682,0.875779,,,391.0,5.96870756,2,1,0,1,0,0,1.703634745,0,0.0,NORFOLK,1,1169.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp394-401,76
Thorney Abbey,,,Thorney,Benedictine,,Monks,1539,52.6204,-0.1072,,,411.0,6.018593214,3,1,0,1,0,0,1.110453497,0,0.0,CAMBRIDGESHIRE,1,,,,77
St Benet's Abbey,1.0,,,Benedictine,,Monks,1539,52.6864,1.5247,,,583.0,6.368187186,3,1,0,1,0,0,2.020571404,0,0.0,NORFOLK,1,1019.0,800.0,https://www.british-history.ac.uk/vch/norf/vol2/pp330-336,78
Norwich Cathedral,1.0,,Norwich,Benedictine,,Monks,1538,52.631865,1.301247,,,874.0,6.773080376,2,1,0,1,0,0,1.809178539,0,0.0,NORFOLK,1,1101.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp317-328,79
Ely Cathedral,,,Ely,Benedictine,,Monks,1539,52.398611,0.264167,,,1084.0,6.988413182,3,1,0,1,0,0,0.96734563,0,0.0,CAMBRIDGESHIRE,1,,,,80
Bury St Edmunds Abbey,,,Bury St Edmunds,Benedictine,,Monks,1539,52.243679,0.718851,,,1656.0,7.412160335,3,1,0,1,0,0,1.113001281,0,0.0,SUFFOLK,1,,,,81
Ramsey Abbey,1.0,,Ramsey,Benedictine,,Monks,1537,52.448333,-0.100833,,,1716.0,7.44775128,1,1,0,1,0,0,0.938491858,0,0.0,HUNTINGDONSHIRE,1,969.0,,https://www.british-history.ac.uk/vch/hunts/vol1/pp377-385,82
"Austin Friary, Cambridge",,,Cambridge,Augustinian,Austin Friars,Friars,1538,52.203423,0.118102,Cambridge,,,,2,1,0,0,1,0,0.732548184,0,,CAMBRIDGESHIRE,1,,,,83
Cambridge,,,Cambridge,Franciscan,"Friars Minor, Conventual",Friars,1538,52.207791,0.119932,Cambridge,,,,2,0,1,0,1,0,0.737273025,0,,CAMBRIDGESHIRE,1,,,,84
Cambridge Blackfriars,,,Cambridge,Dominican,,Friars,1538,52.214188,0.10856,Cambridge,,,,2,0,1,0,1,0,0.73976719,0,,CAMBRIDGESHIRE,1,,,,85
Cambridge Whitefriars,,,Cambridge,Carmelites,,,1538,52.1981,0.1084,,,,,2,0,1,0,1,0,0.724419671,0,,CAMBRIDGESHIRE,1,,,,86
Huntingdon,,,Huntingdon,Augustinian,Austin Friars,Friars,1539,52.332987,-0.18808,Cambridge,,,,3,1,0,0,1,0,0.825956901,0,,HUNTINGDONSHIRE,1,,,,87
"Blackfriars, Norwich",,,Norwich,Dominican,,Friars,1538,52.633336,1.294697,Cambridge,,,,2,0,1,0,1,0,1.804959593,0,,NORFOLK,1,,,,88
Burnham Norton Friary,,,Burnham Norton,Carmelites,,Frairs,1538,52.9509,0.7348,,,,,2,0,1,0,1,0,1.674404736,0,,NORFOLK,1,,,,89
Great Massingham Priory,,,,Augustinian,,Canons,1538,52.774865,0.661857,West Acre,,,,2,1,0,0,1,0,1.486006861,0,,NORFOLK,1,,,,90
Great Yarmouth Blackfriars,,,Yarmouth,Dominican,,Friars,1538,52.600229,1.728743,Cambridge,,,,2,0,1,0,1,0,2.144627786,0,,NORFOLK,1,,,,91
Great Yarmouth Carmelite Friary,,,Great Yarmouth,Carmelites,,,1538,52.608461,1.722845,,,,,2,0,1,0,1,0,2.14375723,0,,NORFOLK,1,,,,92
Great Yarmouth Greyfriars,,,Yarmouth,Franciscan,"Friars Minor, Conventual",Friars,1538,52.605182,1.726216,Cambridge,,,,2,0,1,0,1,0,2.144976718,0,,NORFOLK,1,,,,93
Great Yarmouth Whitefriars,,,Yarmouth,Carmelites,,,1538,52.608205,1.723673,,,,,2,0,1,0,1,0,2.144337195,0,,NORFOLK,1,,,,94
"Greyfriars, Norwich",,,Norwich,Franciscan,"Friars Minor, Conventual",Friars,1538,52.629208,1.299477,Cambridge,,,,2,0,1,0,1,0,1.806142602,0,,NORFOLK,1,,,,95
Kings Lynn Augustinians,,,Kings Lynn,Augustinian,Austin Friars,Friars,1538,52.756866,0.396908,Cambridge,,,,2,1,0,0,1,0,1.349039681,0,,NORFOLK,1,,,,96
Kings Lynn Carmelites,,,Kings Lynn,Carmelites,,,1538,52.7486,0.397551,,,,,2,0,1,0,1,0,1.341650444,0,,NORFOLK,1,,,,97
Kings Lynn Franciscans,,,Kings Lynn,Franciscan,"Friars Minor, Conventual",Friars,1538,52.7514,0.399,Cambridge,,,,2,0,1,0,1,0,1.344792315,0,,NORFOLK,1,,,,98
King's Lynn Priory Dominicans,,,King's Lynn,Dominican,,Friars,1538,52.753504,0.399611,Cambridge,,,,2,0,1,0,1,0,1.346969516,0,,NORFOLK,1,,,,99
Norwich,,,Norwich,Augustinian,Austin Friars,Friars,1538,52.627704,1.299951,Cambridge,,,,2,1,0,0,1,0,1.805583249,0,,NORFOLK,1,,,,100
Sniterley Whitefriars,,,Blakeney,Carmelites,,,1538,52.955256,1.023381,,,,,2,0,1,0,1,0,1.841668748,0,,NORFOLK,1,,,,101
Thetford,,,Thetford,Dominican,,Friars,1538,52.413653,0.744436,Cambridge,,,,2,0,1,0,1,0,1.249222597,0,,NORFOLK,1,,,,102
Thetford Austin Friars,,,Thetford,Augustinian,Austin Friars,Friars,1538,52.410164,0.755841,Cambridge,,,,2,1,0,0,1,0,1.254618706,0,,NORFOLK,1,,,,103
Walsingham,,,Walsingham,Franciscan,"Friars Minor, Conventual",Friars,1538,52.893607,0.875403,Cambridge,,,,2,0,1,0,1,0,1.703354497,0,,NORFOLK,1,,,,104
"Whitefriars, Norwich",,,Norwich,Carmelites,,,1538,52.63572,1.301022,,,,,2,0,1,0,1,0,1.811395255,0,,NORFOLK,1,,,,105
Babwell Friary,,,Bury St Edmunds,Franciscan,"Friars Minor, Conventual",Friars,1538,52.261912,0.710431,Cambridge,,,,2,0,1,0,1,0,1.118854447,0,,SUFFOLK,1,,,,106
Clare Priory,,,Clare,Augustinian,Austin Friars,Friars,1538,52.0751,0.5814,Cambridge,,,,2,1,0,0,1,0,0.89924316,0,,SUFFOLK,1,,,,107
Dunwich Greyfriars,,,Dunwich,Franciscan,"Friars Minor, Conventual",Friars,1538,52.2755,1.6307,Cambridge,,,,2,0,1,0,1,0,1.9090028,0,,SUFFOLK,1,,,,108
Ipswich,,,Ipswich,Franciscan,"Friars Minor, Conventual",Friars,1538,52.054935,1.150381,Cambridge,,,,2,0,1,0,1,0,1.380578937,0,,SUFFOLK,1,,,,109
Ipswich Blackfriars,,,Ipswich,Dominican,,Friars,1538,52.055,1.1584,Cambridge,,,,2,0,1,0,1,0,1.387975954,0,,SUFFOLK,1,,,,110
Ipswich Whitefriars,,,Ipswich,Carmelites,,,1538,52.05659,1.15378,,,,,2,0,1,0,1,0,1.384355215,0,,SUFFOLK,1,,,,111
Mendham Priory,,,Mendham,Benedictine,Cluniac,Monks,1537,52.38804,1.321693,,,,,1,1,0,0,1,0,1.686403903,0,,SUFFOLK,1,,,,112
Orford Austin Friars,,,Orford,Augustinian,Austin Friars,Friars,1538,52.093113,1.535313,,,,,2,1,0,0,1,0,1.753224264,0,,SUFFOLK,1,,,,113
Sudbury,,,Sudbury,Dominican,,Friars,1538,52.035835,0.725964,,,,,2,0,1,0,1,0,0.994457884,0,,SUFFOLK,1,,,,114
Welnetham,,,Little Welnetham,Crutched Friars,,Friars,1538,52.194984,0.759356,,,,,2,0,1,0,1,0,1.113163111,0,,SUFFOLK,1,,,,115
Gorleston,,,Gorleston,Augustinian,Austin Friars,Friars,1538,52.586374,1.724561,Cambridge,,,,2,1,0,0,1,0,2.134005752,0,,SUFFOLK,1,,,,116
Dunwich Blackfriars,,,Dunwich,Dominican,,Friars,1538,52.271989,1.63953,Cambridge,,,,2,0,1,0,1,0,1.915695814,0,,SUFFOLK,1,,,,117
Bedford,,,Bedford,Franciscan,"Friars Minor, Conventual",Friars,1538,52.138848,-0.474842,Oxford,,3.0,1.098612289,2,0,1,0,1,0,0.722990084,0,0.0,BEDFORDSHIRE,2,,,,118
Aylesbury Friary,1.0,,Aylesbury,Franciscan,"Friars Minor, Conventual",Friars,1538,51.815217,-0.814867,Oxford,,3.0,1.098612289,2,0,1,0,1,0,0.7606850000000001,0,0.0,BUCKINGHAMSHIRE,2,1386.0,,https://www.british-history.ac.uk/vch/bucks/vol1/pp391-392,119
Hitchin Priory,1.0,,New Bigging Priory,Gilbertine,,Canons,1538,51.946926,-0.276495,,,13.0,2.564949357,2,0,1,0,1,0,0.464750799,0,0.0,HERTFORDSHIRE,2,1361.0,,https://www.british-history.ac.uk/vch/herts/vol4/p443,120
Chesunt Priory,,,,Benedictine,,Nuns,1536,51.717561,-0.018904,,,14.0,2.63905733,0,1,0,0,1,0,0.23004655,1,14.0,HERTFORDSHIRE,2,,,,121
Snelshall Priory,,,Milton Keynes,Benedictine,,Monks,1535,52.002,-0.813,,,19.0,2.944438979,-1,1,0,0,1,0,0.851439963,0,0.0,BUCKINGHAMSHIRE,2,,,,122
Medmenham,,,,Cistercian,,Monks,1536,51.547696,-0.838104,Woburn,,20.0,2.995732274,0,1,0,0,1,0,0.720990117,0,0.0,BERKSHIRE,2,,,,123
Little Marlow Priory,1.0,,Little Marlow,Benedictine,,Nuns,1536,51.5854,-0.7422,,,23.0,3.135494216,0,1,0,0,1,0,0.628638187,1,23.0,BUCKINGHAMSHIRE,2,1175.0,,"https://www.british-history.ac.uk/vch/bucks/vol1/pp357-360, ""any time in the later half of the twelfth century""",124
Kington St Michael Priory,,,Kington St Michael,Benedictine,,Nuns,1536,51.499216,-1.154959,,,25.0,3.218875825,0,1,0,0,1,0,1.036915079,1,25.0,BERKSHIRE,2,,,,125
Berden Priory,,,Berden,Augustinian,,Canons,1536,51.951199,0.126372,,,29.0,3.36729583,0,1,0,0,1,0,0.504403724,0,0.0,ESSEX,2,,,,126
