monastery_name,crown_interference,leadership_opposition,rankfile_opposition,any_opposition,source
St Andrew's Priory,0,0,0,0,VCH Yorks III. Gilbertine daughter house; no per-house Crown interference or opposition documented.
Woodkirk Priory,0,0,0,0,VCH Yorks III. Small Augustinian.
Lindisfarne Priory,0,0,0,0,VCH Durham II. Prior Sparke; later suffragan Bishop of Berwick.
Lytham Priory,0,0,0,0,VCH Lancs. Tiny Durham cell; no evidence.
Marrick Priory,0,0,0,0,VCH Yorks III. Prioress Cowper; good compertae; compliant.
Calder Abbey,0,0,0,0,VCH Cumberland II pp. 174-178. Surrendered 1536 under first Act.
Upholland Priory,0,0,0,0,VCH Lancs II pp. 111-112. Visitors alleged only incontinence.
St Clement's Priory,0,0,0,0,VCH Yorks ER. Small Benedictine.
North Ferriby Priory,0,0,0,0,VCH Yorks ER. Small Augustinian.
Syningthwaite Priory,0,0,0,0,VCH Yorks III. No evidence.
Ellerton Priory,0,0,0,0,VCH Yorks III. Gilbertine daughter house; no per-house Crown interference or opposition documented.
Hampole Priory,0,0,0,0,VCH Yorks III. No evidence.
Healaugh Park Priory,0,0,0,0,VCH Yorks III. Augustinian.
Hackness Priory,0,0,0,0,VCH Yorks III. No evidence.
Brinkburn Priory,0,0,0,0,VCH Northumberland. Tiny house; no opposition.
Nunmonkton,0,0,0,0,VCH Yorks III. No evidence.
Nun Appleton Priory,0,0,0,0,VCH Yorks III. Layton moral charges only.
Hornby Priory,0,0,0,0,VCH Lancs II pp. 160-161. Surrendered to Legh and Layton 23 Feb 1536.
Lanercost Priory,0,0,0,0,VCH Cumberland II pp. 152-161. Prior Robinson; compliant.
Burscough Priory,0,0,0,0,VCH Lancs II. Derby patronage; compliant.
Swine Priory,0,0,0,0,VCH Yorks III. No evidence.
Cartmel Priory,0,0,0,0,VCH Lancs VIII; Haigh (1969). Prior Preston fled to Derby's Crown forces Oct 1536.
Drax Priory,0,0,0,0,VCH Yorks III. Augustinian.
Conishead Priory,0,0,0,0,"VCH Lancs II pp. 140-143. Non-dispersal story belongs to Cartmel, not Conishead; VCH records 8 canons pensioned normally."
Newminster Abbey,0,0,0,0,VCH Northumberland. No verifiable pre-Oct 1536 evidence of opposition despite secondary claims.
Haltemprice Priory,0,0,0,0,VCH Yorks III pp. 213-216. Surrendered 12 Aug 1536 without resistance.
Mount St. John Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Snaith Priory,0,0,0,0,VCH Yorks III. Benedictine cell of Selby.
Easby Abbey,0,0.5,0,1,VCH Yorks III pp. 245-249; English Heritage. Abbot Bampton issued sealed conventual charter to Lord Scrope 2 Aug 1534 reaffirming patronage — defensive institutional manoeuvre.
Bamburgh Priory,0,0,0,0,VCH Northumberland. Small; no evidence.
Wetheral,1,0,0,0,VCH Cumb II pp. 184-189. VCH: 'It is probable that Ralf Hartley was put in by Cromwell's influence for the purpose of the dissolution.'
Finchale Abbey,0,0,0,0,VCH Durham II. Durham dependency; compliant.
Hexham Abbey,0.5,1,1,1,Same house as Hexham Priory in dataset; coded identically. See Hexham Priory source.
Newland Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
St Bees Priory,1,0,0,0,VCH Cumb II pp. 178-183. VCH: 'Priors were made or unmade as it suited the royal will.' Prior Matthew deposed under Cromwellian pressure. Factional struggle ≠ Reformation opposition.
Warter Abbey,0,0,0,0,VCH Yorks III. Dissolved Aug 1536 without opposition.
Sawley Abbey,0,0,0,0,VCH Yorks III pp. 156-158. Abbot Bolton (confirmed 1527). All evidence of resistance (Trafford/restoration) post-12 Oct 1536.
Marton Priory,0,0,0,0,VCH Yorks III. Small Augustinian.
Shap Abbey,0,0,0,0,VCH Westmorland. Surrendered quietly Jan 1540; no pre-Oct opposition.
Cockersand Abbey,0.5,0,0,0,VCH Lancs II pp. 154-159. Abbot Poulton's deferential Cromwell correspondence over Layburn dispute.
Coverham Abbey,0,0,0,0,"Clay, Yorkshire Monasteries: Suppression Papers (1912). Abbot Rokeby accepted pension Apr 1536."
Beverley Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Holy Trinity Priory, York",0.5,0,0,0,VCH York. Alien-dependency background; thin but not contradicted by audit.
"Charterhouse, Kingston upon Hull",0,0,0.5,1,"VCH Yorks III pp. 190-192; Carthusian Martyrs of London (Wikipedia). London Carthusians Rochester and Walworth exiled to Hull post-June 1535 executions, not May 1534. 0.5 reflects exiled resisters present in community; strict reading (native monks only) would be 0."
Alnwick Abbey,0,0,0,0,VCH Northumberland. Dissolved and refounded for a fine — compliance.
Malton Priory,0,0,0,0,VCH Yorks III. Gilbertine; Holgate's mastership (1536) did not constitute per-house election interference. No documented opposition.
Ribstone Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Bolton Priory,0,0,0,0,VCH Yorks III pp. 195-199. Prior Moone (1513); compliant.
Roche Abbey,0,0,0,0,VCH Yorks III pp. 153-156; English Heritage. No opposition; compertae raised only moral charges.
Jervaulx Abbey,0,0,1,1,VCH Yorks III pp. 138-142; L&P VIII-IX. Monk George Lazenby convicted of treason 6 Aug 1535 for affirming papal supremacy. Abbot Sedbar elected conventionally c.1533.
Byland Abbey,0,0.5,0,1,VCH Yorks III pp. 131-134; DHI Cistercians. Abbot Alanbridge tried to evade presiding at Blyton's imposition at Rievaulx Sept 1533 — institutional foot-dragging.
Monk Bretton Priory,0,0,0,0,VCH Yorks III pp. 115-117. Prior Browne (1523); Oath taken 1534.
Hexham Priory,0.5,1,1,1,"Knowles III pp. 323-24; L&P XI nos. 504, 784. Armed resistance 28 Sept 1536 by unnamed canon(s) in armour. Prior Jay's Feb 1536 deposition was archiepispopal (York peculiar), not directly Cromwellian."
Kirkham Priory,0,0,0,0,VCH Yorks III pp. 219-222. Prior Kildwick (1518); compliant.
Rievaulx Abbey,1,0.5,1,1,"VCH Yorks III pp. 149-153; Elton, JEH 7 (1956). Kirkby deposed 1 Sept 1533 via Cromwell/Legh; only 8 of 23 monks consented to Blyton's election. Kirkby's opposition was factional/pre-Supremacy, coded 0.5 not 1."
Meaux Abbey,0,0,0,0,VCH Yorks III pp. 146-149. No interference; compliant.
Whalley Abbey,0,0,0,0,VCH Lancs II pp. 131-139; Haigh (1975). Abbot Paslew elected 1507; took Oath 1534; granted Cromwell annuity. Sworn to rebels 30 Oct 1536 under armed coercion.
Mount Grace Priory,0,0,0,0,VCH Yorks III; English Heritage. Claim of 1534 monk imprisonments is unsourced tradition; English Heritage notes Mount Grace 'refused to become involved with the Pilgrimage of Grace.' No verifiable pre-Oct opposition.
Kirkstall Abbey,0,0,0,0,VCH Yorks III pp. 142-146. Abbot Ripley elected 1528; compliant throughout.
Pontefract Priory,0,0,0,0,VCH Yorks III pp. 162-165. Prior Thwaytes; compliant.
Watton Priory,1,0,0,0,VCH Lincs II pp. 179-187; ODNB 'Holgate'. Holgate imposed as Master of Gilbertines and prior of Watton 1536 as Cromwell's chaplain.
Newburgh Priory,0,0,0,0,VCH Yorks III. Prior Lenewood; Legh/Layton noted only 'superstitions'.
Tynemouth Priory,0,0,0,0,VCH Northumberland. Prior Blakeney; compliant.
Carlisle Cathedral,0,0,0,0,"VCH Cumb II; Fasti XI. Prior Salkeld (1532); 1541 transition to Dean shows pragmatic conformity, not documented pre-1536 Crown patronage."
Whitby Abbey,0,0,0,0,VCH Yorks NR II pp. 506-528. Abbot Hexham/Topcliffe (1527); compliant.
Holmcultram Abbey,1,0.5,0,1,"VCH Cumb II pp. 162-173; Gilbanks, Records of Holm Cultram. Four abbots 1532-38; contested elections with Crown agents intervening. Convent's Aug 1536 petition notified Cromwell of vacancy — mild institutional resistance."
Nostell Priory,0,0,0,0,VCH Yorks III. Prior Comyn in office through window; Ferrar's Cromwellian appointment was June 1538 — too remote. No pre-Oct 1536 interference.
Bridlington Priory,0,0.5,0,1,VCH Yorks III pp. 199-205; BL Cotton MS Cleop. E IV fo. 53. Prior Wood's letter (c.23 Oct 1535) resisted Crown displacement of Walter de Gant as founder. Mild pre-Pilgrimage pushback.
Selby Abbey,0.5,0,0,0,"VCH Yorks III; Selby Abbey history. Abbot Rogers signed 1530 divorce petition. Election (1526) was conventional; Crown-sympathetic, not Crown-imposed."
Gisborough Priory,1,0,0,0,English Heritage; ODNB 'Pursglove'. Cromwell orchestrated Cockerell's forced resignation and Pursglove's installation 25 Apr 1536.
Furness Abbey,1,0,0,0,"VCH Lancs II pp. 114-131. Abbot Pyle paid £200 for admission and granted Cromwell a yearly pension, c.1531. R&F opposition (Salley) unverifiable pre-Oct 1536."
Fountains Abbey,1,0,0,0,"VCH Yorks III pp. 134-138; L&P X no. 137. Bradley paid 600 marks (~£400) for abbacy after Thirsk deposed by Legh/Layton Jan 1536. Thirsk's charges administrative/moral, not doctrinal."
Durham Priory,0,0,0,0,Knowles III; VCH Durham II. Prior Whitehead (1520); took Oath; became first Dean 1541.
"St Mary's Abbey, York",0,0,0,0,VCH Yorks III pp. 107-112. Abbot Thornton (1530); compliant.
Carlisle,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Carlisle Friary,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Penrith,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Hartlepool",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Lancaster Friary,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Preston Greyfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Warrington,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Bamburgh,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Newcastle Upon Tyne",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Hulne,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Newcastle Upon Tyne Austin Friars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Whitefriars Newcastle Upon Tyne,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Blackfriars, Newcastle",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Appleby Whitefriars Priory,0,0,0,0,VCH Westmorland. Carmelite friary; wardens appointed by order.
Ravenstonedale Priory,0,0,0,0,VCH Westmorland. Gilbertine daughter house; no per-house interference. No opposition.
Beverley Dominicans,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Beverley Franciscans,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Kingston Upon Hull,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
White Friars Hull,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Austin Friars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Blackfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Franciscan Friary,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Greyfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Whitefriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Northallerton,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Richmond Greyfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Scarborough Blackfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Scarborough Greyfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Scarborough Whitefriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Yarm Blackfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Doncaster Greyfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Doncaster Whitefriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Tickhill,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Pontefract Blackfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stainfield Priory,0,0,0,0,VCH Lincs II. Benedictine nunnery; no evidence.
"St Michael's Priory, Stamford",0,0,0,0,VCH Lincs II. Small Benedictine.
