guy,total,name,county,firstName,lastName,place
Richard Whalley,1440.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Richard,Whalley,
Roger Curwen,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Roger,Curwen,
Thomas Gerveys,182.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Gerveys,
Christopher Esington,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Christopher,Esington,
Jacob Tyndall,300.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Jacob,Tyndall,
John Ward,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",John,Ward,
Laurence Robinson,1200.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Laurence,Robinson,
John Houseman,320.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",John,Houseman,
Carl Pennington,970.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Carl,Pennington,
Thomas Williamson,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Williamson,
Robert Lethley,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Robert,Lethley,
Robert Fedderstan,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Robert,Fedderstan,
Jacob Eustach,320.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Jacob,Eustach,
John Roger,1680.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",John,Roger,
vic' Ebor',720.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",vic',Ebor',
Thomas Fairfax,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Fairfax,
Robert Chalon,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Robert,Chalon,
Thomas Clerke,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Clerke,
Richard Farley,1200.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Richard,Farley,
Thomas Gilloye,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Gilloye,
Robert Constable,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Robert,Constable,
Dionisio Metcalffe,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Dionisio,Metcalffe,
John Hyde,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",John,Hyde,
William Maunsell,320.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",William,Maunsell,
William Dickinson,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",William,Dickinson,
Anthony Saltmarch,120.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Anthony,Saltmarch,
Thomas Walles,504.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Walles,
John Coltman,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",John,Coltman,
Henry Wilson,40.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Henry,Wilson,
William Dacre,480.0,Wetheral,CUMBERLAND,William,Dacre,
George Mires,320.0,Wetheral,CUMBERLAND,George,Mires,
Edward Walles,640.0,Wetheral,CUMBERLAND,Edward,Walles,
Robert Watson,320.0,Wetheral,CUMBERLAND,Robert,Watson,
Thomas See,320.0,St Mary Magdalene's Priory,LINCOLNSHIRE,Thomas,See,
Robert Levitt,240.0,St Mary Magdalene's Priory,LINCOLNSHIRE,Robert,Levitt,
Thomas Wray,320.0,"St Martin's Priory, Richmond","YORKSHIRE, NORTH RIDING",Thomas,Wray,
John Wilkinson,320.0,"St Martin's Priory, Richmond","YORKSHIRE, NORTH RIDING",John,Wilkinson,
John Lamplough,320.0,St Bees Priory,CUMBERLAND,John,Lamplough,
Christopher Culwen,240.0,St Bees Priory,CUMBERLAND,Christopher,Culwen,
Richard Orfer,240.0,St Bees Priory,CUMBERLAND,Richard,Orfer,
John Nicholson,240.0,St Bees Priory,CUMBERLAND,John,Nicholson,
William Poule,320.0,St Bees Priory,CUMBERLAND,William,Poule,
John Ponsonby,40.0,St Bees Priory,CUMBERLAND,John,Ponsonby,
Anthony Patrickson,40.0,St Bees Priory,CUMBERLAND,Anthony,Patrickson,
Thomas Tobson,40.0,St Bees Priory,CUMBERLAND,Thomas,Tobson,
Bernard Lambert,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Bernard,Lambert,
Lord Darcy,720.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Lord,Darcy,
Lord Burgh,480.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Lord,Burgh,
William Askew,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",William,Askew,
Thomas Grice,240.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Thomas,Grice,
William Balthorp,240.0,Selby Abbey,"YORKSHIRE, WEST RIDING",William,Balthorp,
Leonardo Bekwyth,240.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Leonardo,Bekwyth,
Thomas Cawe,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Thomas,Cawe,
Richard Cawe,240.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Richard,Cawe,
Edward Montague,240.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Edward,Montague,
Robert Walker,2880.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Robert,Walker,
Earl of Huntington,160.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Earl,of,Huntington
William Thorpe,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",William,Thorpe,
Simon Pynd',640.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Simon,Pynd',
Richard Taillior,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Richard,Taillior,
George Belton,-0.0,Selby Abbey,"YORKSHIRE, WEST RIDING",George,Belton,
Richard Beilby,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Richard,Beilby,
Thomas Potter,480.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Thomas,Potter,
William Nelson,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",William,Nelson,
William Skelton,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",William,Skelton,
Christopher Hartfurth,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Christopher,Hartfurth,
William Androwe,40.0,Selby Abbey,"YORKSHIRE, WEST RIDING",William,Androwe,
Thomas Midleton,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",Thomas,Midleton,
John Wright,480.0,Selby Abbey,"YORKSHIRE, WEST RIDING",John,Wright,
John Elys,320.0,Selby Abbey,"YORKSHIRE, WEST RIDING",John,Elys,
John Wigglesworth,120.0,Arthington Priory,"YORKSHIRE, WEST RIDING",John,Wigglesworth,
Robert Mennell,240.0,Esholt Priory,"YORKSHIRE, WEST RIDING",Robert,Mennell,
John Colier,160.0,Esholt Priory,"YORKSHIRE, WEST RIDING",John,Colier,
William Fitzwilliam,480.0,Roche Abbey,"YORKSHIRE, WEST RIDING",William,Fitzwilliam,
Milonis Wyn,240.0,Roche Abbey,"YORKSHIRE, WEST RIDING",Milonis,Wyn,
John Green,120.0,Roche Abbey,"YORKSHIRE, WEST RIDING",John,Green,
Thomas Green,240.0,Roche Abbey,"YORKSHIRE, WEST RIDING",Thomas,Green,
Henry Gillott,240.0,Roche Abbey,"YORKSHIRE, WEST RIDING",Henry,Gillott,
Henry Whitehead,240.0,Roche Abbey,"YORKSHIRE, WEST RIDING",Henry,Whitehead,
Thomas lord Burgh,320.0,Roche Abbey,"YORKSHIRE, WEST RIDING",Thomas,lord,
Robert Thornabye,240.0,Roche Abbey,"YORKSHIRE, WEST RIDING",Robert,Thornabye,
Robert Burton,120.0,Roche Abbey,"YORKSHIRE, WEST RIDING",Robert,Burton,
Henry Savell,800.0,Monk Bretton Priory,"YORKSHIRE, WEST RIDING",Henry,Savell,
Carl Jackson,240.0,Monk Bretton Priory,"YORKSHIRE, WEST RIDING",Carl,Jackson,
John Bean,320.0,Monk Bretton Priory,"YORKSHIRE, WEST RIDING",John,Bean,
William Cawthorpe,320.0,Monk Bretton Priory,"YORKSHIRE, WEST RIDING",William,Cawthorpe,
Thomas Green,240.0,Monk Bretton Priory,"YORKSHIRE, WEST RIDING",Thomas,Green,
Edmund Dewis,240.0,Monk Bretton Priory,"YORKSHIRE, WEST RIDING",Edmund,Dewis,
William Wilson,240.0,Monk Bretton Priory,"YORKSHIRE, WEST RIDING",William,Wilson,
William Percy,240.0,Hampole Priory,"YORKSHIRE, WEST RIDING",William,Percy,
William Arthington,160.0,Hampole Priory,"YORKSHIRE, WEST RIDING",William,Arthington,
Chrisopher Huscroft,480.0,Hampole Priory,"YORKSHIRE, WEST RIDING",Chrisopher,Huscroft,
Thome Grene,320.0,Nostell Priory,"YORKSHIRE, WEST RIDING",Thome,Grene,
Thome Rigaill,240.0,Nostell Priory,"YORKSHIRE, WEST RIDING",Thome,Rigaill,
Caroli Hopkinson,320.0,Nostell Priory,"YORKSHIRE, WEST RIDING",Caroli,Hopkinson,
Thome Rawson,240.0,Nostell Priory,"YORKSHIRE, WEST RIDING",Thome,Rawson,
Johannis Fretwell,160.0,Nostell Priory,"YORKSHIRE, WEST RIDING",Johannis,Fretwell,
Jacobo Grene,240.0,Nostell Priory,"YORKSHIRE, WEST RIDING",Jacobo,Grene,
Willemo Amyas,160.0,Nostell Priory,"YORKSHIRE, WEST RIDING",Willemo,Amyas,
John Bednell,380.0,Bamburgh Priory,NORTHUMBERLAND,John,Bednell,
Edmund Bradford,240.0,Bamburgh Priory,NORTHUMBERLAND,Edmund,Bradford,
Thome Grice,320.0,Woodkirk Priory,"YORKSHIRE, WEST RIDING",Thome,Grice,
Thome Beamond,80.0,Woodkirk Priory,"YORKSHIRE, WEST RIDING",Thome,Beamond,
Willelmo Dalison,240.0,Hirst,LINCOLNSHIRE,Willelmo,Dalison,
Willelmo Dacres,160.0,Hirst,LINCOLNSHIRE,Willelmo,Dacres,
Thomas lord of Darcy,1200.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Thomas,lord,Darcy
John Midley Bailiff of Burton Salmon,320.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",John,Midley,Burton
William Shelit bailiff of Whitwood,320.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",William,Shelit,Whitwood
Thomas Essheley bailiff of Kellingley,320.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Thomas,Essheley,Kellingley
George Darcy steward of Barnsley,240.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",George,Darcy,Barnsley
Thomas Beamond steward of Barnsley,240.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Thomas,Beamond,Barnsley
William Twhait rec' priorat' ibidem,1200.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",William,Twhait,
Thomas Hegley bailiff of Barnsley,320.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Thomas,Hegley,Barnsley
John Craggs bailiff of Pontefract,320.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",John,Craggs,Pontefract
Robert Webster bailiff of Ledston,480.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Robert,Webster,Ledston
Edward Cracy bailiff of Dodworth,160.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Edward,Cracy,Dodworth
Laurence Townley bailiff of Barnside,160.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Laurence,Townley,Barnside
Carl Jackson steward of Ledston,240.0,Pontefract Priory,"YORKSHIRE, WEST RIDING",Carl,Jackson,Ledston
Thomas Larborne bailiff of Camsall and Afterfeld,402.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Thomas,Larborne,Camsall
William Thornburro bailiff of Kendall and Cartmell,240.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",William,Thornburro,Kendall
John Talbott bailiff of Stede,360.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",John,Talbott,Stede
John Pennyngton bailiff of Copland ,380.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",John,Pennyngton,Copland
Thomas Awinisworth bailiff of Chipping,403.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Thomas,Awinisworth,Chipping
Thomas Skarbroughe bailiff of Lonesdall and Kendall,398.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Thomas,Skarbroughe,Lonesdall
Robert Morehowse bailiff of Kildwike,140.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Robert,Morehowse,Kildwike
John Manemounde bailiff of Bengill and Egardall,320.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",John,Manemounde,Bengill
Robert Rufford bailiff of Crossele,80.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Robert,Rufford,Crossele
Henry Croun' bailiff of Swinton and Wardershipp,420.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Henry,Croun',Swinton
John Smith bailiff of Pudse,128.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",John,Smith,Pudse
Thomas Simkinson bailiff of Heton and Batt,278.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Thomas,Simkinson,Heton
Roger Rogerson bailiff of Osington and Winkeborne,640.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Roger,Rogerson,Osington
William Coldcole bailiff of Newland ,320.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",William,Coldcole,Newland
William Mering,480.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",William,Mering,
Alexander Osbalston,480.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Alexander,Osbalston,
William More,1440.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",William,More,
William Asby,640.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",William,Asby,
Thomas Wilbroo,674.0,Newland Preceptory,"YORKSHIRE, WEST RIDING",Thomas,Wilbroo,
Thomas Tempest,240.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Thomas,Tempest,
William Rukeby,240.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",William,Rukeby,
Peter Midleton,320.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Peter,Midleton,
Robert Tristam,800.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Robert,Tristam,
Henry Gray,480.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Henry,Gray,
William Whitby,160.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",William,Whitby,
Christopher Emerson,240.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Christopher,Emerson,
Dennis Willes,800.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Dennis,Willes,
William Peirson,160.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",William,Peirson,
Simon Welbury,160.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Simon,Welbury,
William Clifton,800.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",William,Clifton,
Robert Sulwood,240.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Robert,Sulwood,
Cuthbert Shorter,160.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Cuthbert,Shorter,
Richard Knagg,240.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Richard,Knagg,
Nicholas Cokrell,120.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Nicholas,Cokrell,
Richard Thwyng,160.0,Gisborough Priory,"YORKSHIRE, NORTH RIDING",Richard,Thwyng,
Henry count of Northumbria and his heirs,480.0,Whitby Abbey,"YORKSHIRE, NORTH RIDING",Henry,count,Northumbria
Jacob Conyers bailiff of Whitby,1600.0,Whitby Abbey,"YORKSHIRE, NORTH RIDING",Jacob,Conyers,Whitby
John Leythley,240.0,Whitby Abbey,"YORKSHIRE, NORTH RIDING",John,Leythley,
John Appleby and Richard Kildale,640.0,Whitby Abbey,"YORKSHIRE, NORTH RIDING",John,Appleby,
William Jackson and Percival Cokerell bailiffs of Fylyng and Gasdale,480.0,Whitby Abbey,"YORKSHIRE, NORTH RIDING",William,Jackson,Fylyng
William Pereson bailiff of Dymflay,240.0,Whitby Abbey,"YORKSHIRE, NORTH RIDING",William,Pereson,Dymflay
William Danby and Reginald Lee stewards of the court of the said monastery,640.0,Whitby Abbey,"YORKSHIRE, NORTH RIDING",William,Danby,
John Markeham for the court of Hog',320.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",John,Markeham,Hog
William Thorald,240.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",William,Thorald,
William Wilson bailiff of Hog,800.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",William,Wilson,Hog
John Litlebery for court of Myntyng,160.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",John,Litlebery,Myntyng
John Bee bailiff of Myntyng,480.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",John,Bee,Myntyng
John Pulleyn steward of the court for all territory of the said priory in county of York,480.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",John,Pulleyn,York
John Jenyson rector of Southholme,160.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",John,Jenyson,Southholme
steward of Hynkeley,160.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",steward,of,Hynkeley
Henry Porter bailiff of Hynkeley,160.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",Henry,Porter,Hynkeley
Lord Marcus of Addreston,320.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",Lord,Marcus,Addreston
Ralph Purfray,160.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",Ralph,Purfray,
Robert Green,720.0,Mount Grace Priory,"YORKSHIRE, NORTH RIDING",Robert,Green,
William Danby,160.0,Arden Priory,"YORKSHIRE, NORTH RIDING",William,Danby,
Robert Bower,240.0,Baysdale Priory,"YORKSHIRE, NORTH RIDING",Robert,Bower,
Nicholas Williamson,120.0,Baysdale Priory,"YORKSHIRE, NORTH RIDING",Nicholas,Williamson,
William Percy,160.0,Handale Priory,"YORKSHIRE, NORTH RIDING",William,Percy,
Thomas Lutton,80.0,Handale Priory,"YORKSHIRE, NORTH RIDING",Thomas,Lutton,
George Lauson military steward of the aforesaid priory,800.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",George,Lauson,
William Mawnsell bailiff of Hovyngame,80.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",William,Mawnsell,Hovyngame
Christopher Symond bailiff of Newburgh,320.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Christopher,Symond,Newburgh
John Bone bailiff of Ulvestone,320.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",John,Bone,Ulvestone
Adam Fethersonehaughe bailiff of Kylborne,320.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Adam,Fethersonehaughe,Kylborne
Thomas Aldburght bailiff of Thirsk,320.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Thomas,Aldburght,Thirsk
William Mennell bailiff of Wembleton,320.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",William,Mennell,Wembleton
George Metkalffe bailiff of Aystaneby,240.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",George,Metkalffe,Aystaneby
Nicholas Boc bailiff of Soureby,240.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Nicholas,Boc,Soureby
Robert Horner bailiff of Micklehall,240.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Robert,Horner,Micklehall
Francis Otterborne bailiff of Langthrop,240.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Francis,Otterborne,Langthrop
Nicholas Boe rector (general?) in the county of York and Nottinghamshire,1920.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Nicholas,Boe,York
Milon Metkalffe rector in the county of Lincoln,1200.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",Milon,Metkalffe,Lincoln
John Dallyson steward of the court,240.0,Newburgh Priory,"YORKSHIRE, NORTH RIDING",John,Dallyson,
Roger Chamley military steward,240.0,Marton Priory,"YORKSHIRE, WEST RIDING",Roger,Chamley,
Robert Todd bailiff,240.0,Marton Priory,"YORKSHIRE, WEST RIDING",Robert,Todd,
Robert Reddhede bailiff of Shireshoton,240.0,Marton Priory,"YORKSHIRE, WEST RIDING",Robert,Reddhede,Shireshoton
John Burton bailiff of Threpeland in Craven,240.0,Marton Priory,"YORKSHIRE, WEST RIDING",John,Burton,Threpeland
John Norton steward there,160.0,Marton Priory,"YORKSHIRE, WEST RIDING",John,Norton,
William Percy military steward there,240.0,Thicket Priory,"YORKSHIRE, EAST RIDING",William,Percy,
Thomas Doune rector? There,80.0,Thicket Priory,"YORKSHIRE, EAST RIDING",Thomas,Doune,
John Aske,320.0,Thicket Priory,"YORKSHIRE, EAST RIDING",John,Aske,
Roger Chamley military steward,480.0,Moxby Priory,"YORKSHIRE, NORTH RIDING",Roger,Chamley,
Robert Hunter,240.0,Moxby Priory,"YORKSHIRE, NORTH RIDING",Robert,Hunter,
Christopher Neudyk steward of the court,120.0,Moxby Priory,"YORKSHIRE, NORTH RIDING",Christopher,Neudyk,
Thomas Count of Rutland steward of the monastery,1200.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Thomas,Count,Rutland
Marmaduke Constable military steward of Whitwell,240.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Marmaduke,Constable,Whitwell
Thomas Gowe steward of the court in Whitwell,240.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Thomas,Gowe,Whitwell
William Colanwodde bailiff of Titlyngton,240.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",William,Colanwodde,Titlyngton
Peter Manby bailiff of Kyrkeham,480.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Peter,Manby,Kyrkeham
Jacob Aslaby bailiff of Kirkby in Grendale,240.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Jacob,Aslaby,Kirkby
Rad'I Bawde bailiff of Hemeslay,160.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Rad'I,Bawde,Hemeslay
Thomas Holteby bailiff of Sexendale,80.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Thomas,Holteby,Sexendale
Carleton auditor of the monastery,240.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Carleton,auditor,
John Presteman bailiff of Billesdale,240.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",John,Presteman,Billesdale
Jacob Muthforth receiver of the office of cellarer of the monastery,240.0,Kirkham Priory,"YORKSHIRE, EAST RIDING",Jacob,Muthforth,
George Hussey,84.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",George,Hussey,
Robert Turwhitt,9.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",Robert,Turwhitt,
Christopher Hilyard,4.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",Christopher,Hilyard,
William Constable fees for aforesaid lands,320.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",William,Constable,
Richard Smethlay steward of letters? There,320.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",Richard,Smethlay,
Robert Hogeson steward of the court there,240.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",Robert,Hogeson,
Richard Kynney rector? Of Wellowe,240.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",Richard,Kynney,
Thomas Wallas bailiff of Ottringham,240.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",Thomas,Wallas,Ottringham
John Large bailiff of Skerne,240.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",John,Large,Skerne
Matthew Morwyn bailiff of Wharrom,320.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",Matthew,Morwyn,Wharrom
John Bell bailiff of Waghen,240.0,Meaux Abbey,"YORKSHIRE, EAST RIDING",John,Bell,Waghen
Thomas Darcy,160.0,Swine Priory,"YORKSHIRE, EAST RIDING",Thomas,Darcy,
William Babthorp,160.0,Swine Priory,"YORKSHIRE, EAST RIDING",William,Babthorp,
Robert Hogeson auditor,320.0,Swine Priory,"YORKSHIRE, EAST RIDING",Robert,Hogeson,
John Hogeson bailiff ,,Swine Priory,"YORKSHIRE, EAST RIDING",John,Hogeson,
Rad'o Babthorp,960.0,Swine Priory,"YORKSHIRE, EAST RIDING",Rad'o,Babthorp,
John Constable military steward of the house,160.0,Nunkeeling Priory,"YORKSHIRE, EAST RIDING",John,Constable,
William Waldby gentleman auditor of the house,240.0,Nunkeeling Priory,"YORKSHIRE, EAST RIDING",William,Waldby,
William Waldby steward of the court,120.0,Nunkeeling Priory,"YORKSHIRE, EAST RIDING",William,Waldby,
William Acclom,1200.0,Nunkeeling Priory,"YORKSHIRE, EAST RIDING",William,Acclom,
John Scrop lord Scrop of Bolton,480.0,Bridlington Priory,"YORKSHIRE, EAST RIDING",John,Scrop,Bolton
